,NPI_ID,HCP_ID,TARGET,Age,Year_of_Experience,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Claims_last_6_Month,Claims_last_12_Month,Procedures_chemo_last_1_month,Procedures_chemo_last_3_month,Procedures_chemo_last_6_month,Procedures_chemo_last_12_month,Procedures_radio_last_6_month,Procedures_radio_last_12_month,Procedures_Biopsy_last_6_month,Promotional_medscape,Promotional_medscape_last_1_month,Promotional_medscape_last_3_month,Promotional_medscape_last_6_month,Promotional_medscape_last_12_month,Sex_ M ,Specialty_Oncology,Specialty_Pediatric,Specialty_Uro-oncology,HCO_Affiliation_Type_Contract,HCO_Affiliation_Type_Referral
0,9846255,HCP_1,0,64,10,290,400,492,770,1373,241,395,699,1047,48,82,112,154,79,110,182,8,12,18,30,55,True,True,False,False,False,True
1,5217093,HCP_2,1,64,47,645,923,1628,2210,2449,197,266,420,667,66,75,98,124,111,128,73,6,11,14,21,40,False,False,False,False,False,False
2,2659257,HCP_3,1,56,41,879,1062,1918,3505,6169,319,532,655,849,37,55,96,129,238,355,107,10,17,20,29,48,True,False,False,False,False,False
3,9851763,HCP_4,1,74,35,392,704,1036,1078,1184,232,419,464,849,69,114,139,196,91,177,133,6,12,16,21,27,False,False,True,False,False,False
4,6650853,HCP_5,0,46,60,1043,1228,1305,1339,2483,232,261,519,930,75,83,110,163,122,158,234,8,12,15,30,52,True,False,False,False,True,False
5,8407563,HCP_6,0,87,28,325,338,516,818,1039,202,226,339,480,32,55,73,79,94,150,189,7,10,19,23,28,False,False,False,False,False,False
6,5404573,HCP_7,0,63,60,1038,2065,2986,3673,3738,104,185,292,571,73,103,182,281,75,125,98,8,13,25,33,43,False,False,False,False,False,False
7,5937705,HCP_8,0,38,16,685,765,1334,2458,3624,197,260,412,614,47,60,107,114,126,141,169,9,10,15,28,42,False,False,False,False,False,False
8,4619157,HCP_9,1,49,57,1100,1816,3544,3933,4911,162,281,375,598,64,88,127,159,151,246,128,10,11,19,25,49,True,False,False,False,False,True
9,5133414,HCP_10,0,60,38,1100,1636,1932,3193,5024,206,365,561,1107,34,57,70,96,110,203,84,5,7,10,15,26,False,False,False,True,False,False
10,8718815,HCP_11,1,71,42,1079,1564,2291,4414,6984,22,31,57,99,52,98,128,218,113,134,157,10,16,29,36,48,False,False,True,False,True,False
11,1060131,HCP_12,1,70,40,1046,1224,2146,2724,3947,38,50,89,175,38,55,62,81,154,191,73,8,14,19,20,22,False,False,False,False,False,False
12,9119720,HCP_13,0,81,41,1100,1953,2103,4124,6807,56,108,192,213,42,63,119,209,312,436,63,7,12,16,24,33,False,True,False,False,True,False
13,9875108,HCP_14,1,66,38,1100,1740,2884,3396,5605,243,436,507,906,62,103,203,342,119,217,264,8,9,13,22,40,True,False,False,False,False,True
14,5099974,HCP_15,0,35,43,1100,1700,2286,4228,5724,84,91,127,189,34,37,70,134,100,102,91,6,8,15,24,38,True,False,False,False,True,False
15,6845671,HCP_16,0,58,58,1100,1507,2466,2896,4252,192,246,247,427,33,35,46,60,101,158,99,8,16,20,28,52,True,False,True,False,False,False
16,1116782,HCP_17,0,74,24,100,126,205,264,489,13,21,29,41,55,84,120,160,113,118,174,8,14,26,39,65,True,False,False,False,False,False
17,2942128,HCP_18,0,35,20,159,245,474,863,959,10,12,14,25,29,57,58,98,157,309,94,5,9,17,31,39,True,False,False,False,False,False
18,6739775,HCP_19,0,49,47,924,1344,2452,4636,7533,129,226,323,549,66,80,95,162,128,237,90,5,9,10,11,18,False,False,False,True,True,False
19,6696762,HCP_20,0,60,44,659,714,1162,1175,1837,246,362,661,718,25,48,76,129,118,170,108,5,9,17,21,34,True,False,True,False,True,False
20,4976944,HCP_21,0,69,48,1100,1561,2321,2452,4560,91,143,173,292,51,66,92,139,98,158,102,5,7,11,18,26,False,False,False,False,False,True
21,5764497,HCP_22,1,50,53,1100,1451,1638,2815,4920,114,124,175,196,36,59,105,175,116,160,176,6,10,13,14,21,False,False,False,False,False,False
22,2394003,HCP_23,0,66,43,1029,1699,3037,4615,6586,229,296,570,957,25,28,46,77,52,70,193,9,10,15,22,36,False,False,False,False,False,False
23,8731514,HCP_24,0,66,18,100,119,183,335,610,118,228,416,462,30,42,69,79,189,355,78,9,13,19,35,56,False,False,True,False,False,True
24,6644175,HCP_25,0,30,10,344,441,716,1058,1535,253,452,751,1375,26,43,61,71,78,155,150,9,17,28,50,52,True,False,False,False,False,True
25,1307546,HCP_26,0,86,10,100,188,325,501,770,197,304,399,780,35,59,106,130,159,209,218,7,9,16,31,53,True,False,True,False,False,False
26,4155226,HCP_27,1,63,46,1100,1928,3474,4922,9624,331,656,710,1056,40,70,121,218,157,271,182,6,11,17,20,34,False,False,False,False,False,False
27,1232007,HCP_28,0,33,15,596,662,1210,1938,3772,209,216,352,529,24,26,52,99,163,246,149,6,8,9,17,32,True,False,False,False,True,False
28,6125037,HCP_29,0,42,10,409,470,553,853,1465,348,443,704,1069,52,54,65,102,86,143,96,9,14,17,34,53,True,True,False,False,True,False
29,8953155,HCP_30,0,54,10,344,534,663,830,906,34,40,71,103,32,37,41,77,175,277,95,10,17,25,27,42,True,False,False,True,False,False
30,5774249,HCP_31,0,49,60,1100,1408,2321,3516,5247,67,109,151,242,54,55,64,119,116,185,188,8,14,16,23,43,True,False,True,False,False,False
31,9222123,HCP_32,1,44,14,437,822,927,1037,1537,342,365,479,852,75,144,158,165,220,266,66,10,19,31,43,79,False,False,False,False,True,False
32,8418473,HCP_33,1,28,38,1100,2054,2615,5132,9748,27,47,78,105,47,80,83,110,105,184,105,9,14,26,41,73,False,False,False,False,True,False
33,6511069,HCP_34,0,50,43,1100,2125,3320,6371,7696,292,443,840,935,55,77,149,155,77,127,184,9,16,23,41,72,True,False,False,False,False,False
34,2642428,HCP_35,0,71,34,1100,1544,2118,3672,6981,43,77,122,209,23,37,68,102,171,242,106,7,14,27,30,34,False,False,False,False,False,False
35,9164997,HCP_36,0,59,16,445,794,997,1254,1440,126,199,265,489,50,91,109,197,106,202,66,8,9,14,25,27,True,False,False,False,False,True
36,9970218,HCP_37,0,86,10,802,1515,2647,3683,5465,244,478,901,1542,46,85,95,185,87,148,86,8,13,14,24,45,False,False,False,True,False,False
37,8902182,HCP_38,0,88,10,617,1030,1084,1970,3654,39,40,76,87,34,42,55,62,73,107,161,9,18,22,36,46,True,False,False,False,True,False
38,5842671,HCP_39,0,63,32,460,856,1644,1930,3191,345,631,1161,1409,39,42,73,89,152,174,161,9,12,17,19,30,False,True,False,False,True,False
39,3327397,HCP_40,0,32,24,100,177,237,443,616,129,180,194,269,67,127,180,290,79,91,80,8,13,16,31,55,True,False,False,False,False,False
40,4206788,HCP_41,0,37,31,100,153,251,275,510,168,307,399,427,71,84,99,151,104,181,279,6,11,20,26,34,True,False,False,False,True,False
41,4592242,HCP_42,0,54,20,294,381,393,445,871,231,359,673,1010,48,52,102,204,179,190,170,6,12,23,26,46,False,False,False,True,True,False
42,6572907,HCP_43,0,73,51,1011,1036,1190,1733,3418,156,164,250,421,41,54,104,199,106,155,219,9,11,19,30,50,False,True,False,False,False,False
43,2675793,HCP_44,0,86,12,351,407,601,784,1113,127,159,183,348,72,84,140,193,108,115,106,8,10,11,13,16,True,False,False,False,True,False
44,4936853,HCP_45,0,68,13,833,1569,2861,3119,3437,196,314,391,545,43,47,87,168,219,280,82,8,15,27,34,43,False,False,True,False,False,False
45,7358244,HCP_46,0,31,45,1100,1458,2463,3684,5433,170,278,376,457,72,131,180,182,157,246,85,8,10,18,26,38,False,False,False,False,False,False
46,4476600,HCP_47,0,56,60,1072,1831,3323,5759,8513,172,221,431,714,41,58,86,117,150,259,163,9,11,14,27,50,True,False,False,False,True,False
47,8233556,HCP_48,0,89,53,1096,1369,2551,4683,7968,146,196,276,514,58,99,134,192,151,281,131,9,11,12,24,28,False,False,False,False,False,False
48,6487427,HCP_49,0,55,30,936,1103,1915,3004,5860,166,195,266,295,61,108,155,245,108,188,260,8,11,19,33,42,True,True,False,False,False,False
49,5900726,HCP_50,0,69,49,1100,1717,2219,3748,5298,342,407,768,1446,73,139,275,333,215,228,125,7,14,16,29,56,False,False,False,False,False,False
50,6779839,HCP_51,0,47,21,623,913,1045,1553,2605,260,402,472,628,35,36,47,70,164,196,102,6,8,9,18,27,True,False,False,True,True,False
51,3349845,HCP_52,0,36,13,1090,1389,2008,3505,5650,141,273,417,826,60,86,118,186,198,298,86,10,15,30,32,39,False,True,False,False,False,False
52,1499656,HCP_53,0,92,44,100,123,150,173,202,42,81,118,158,49,97,161,202,50,77,195,6,9,18,31,45,False,True,False,False,False,True
53,8459725,HCP_54,0,41,34,1100,1251,1632,2453,3637,39,54,93,164,69,109,194,388,83,127,167,7,11,18,29,41,True,False,True,False,False,True
54,4453281,HCP_55,0,80,10,229,317,588,677,800,231,241,384,590,47,53,90,99,106,111,93,5,9,10,18,31,True,False,False,False,True,False
55,8160567,HCP_56,0,55,59,1100,1555,2570,3465,5688,86,148,253,258,58,79,118,127,102,145,209,7,11,19,32,59,False,False,False,True,False,False
56,8963155,HCP_57,0,29,10,239,459,467,619,1128,111,160,311,487,61,96,192,225,101,104,87,6,11,14,20,25,True,False,False,False,False,False
57,8181212,HCP_58,0,73,48,1100,1419,1505,2907,4158,200,257,399,615,36,72,102,118,173,213,103,9,13,18,29,44,False,False,False,True,True,False
58,9574418,HCP_59,0,87,19,1100,2185,3320,5398,5930,9,18,20,32,51,101,127,248,124,213,81,7,8,12,20,38,False,True,False,False,False,False
59,6784351,HCP_60,0,89,46,1009,1085,2076,3925,7046,155,282,514,963,59,113,169,188,132,208,62,8,13,23,30,38,False,False,True,False,False,True
60,6660844,HCP_61,0,59,60,1100,1406,2363,3905,4888,308,418,585,861,25,26,43,53,179,242,127,9,10,15,23,38,True,False,False,False,False,True
61,6801445,HCP_62,0,41,60,490,932,1118,1700,2689,308,407,640,691,59,61,120,201,153,165,185,10,13,18,33,38,True,False,False,False,False,True
62,7004521,HCP_63,0,60,28,977,1903,3051,5003,7903,98,193,359,585,68,130,224,290,95,185,191,10,16,30,34,41,False,False,False,False,False,True
63,7737399,HCP_64,0,56,57,1100,1419,1604,2747,3003,23,39,63,85,70,120,230,431,185,290,173,7,13,14,27,41,False,False,False,True,True,False
64,8210324,HCP_65,0,48,52,1100,1618,2285,4014,5587,152,186,261,402,59,117,130,132,93,148,123,10,20,34,55,102,False,False,False,False,False,False
65,8000796,HCP_66,0,32,51,919,1768,2317,2810,3380,55,101,179,305,68,78,151,239,128,245,99,5,8,16,27,29,False,False,False,False,False,False
66,9646371,HCP_67,0,68,10,291,512,929,1096,1698,33,37,46,72,44,58,66,105,178,334,144,8,15,24,48,62,True,False,False,False,False,False
67,5980645,HCP_68,0,64,57,1053,1323,2121,2325,2781,278,286,428,658,44,78,95,118,88,136,155,7,12,20,32,38,True,False,False,False,False,True
68,7328231,HCP_69,0,77,15,384,576,917,1012,1578,99,110,219,222,61,95,158,279,150,188,108,5,6,10,17,33,True,False,False,False,False,False
69,9330806,HCP_70,0,64,60,1100,1331,1836,2101,2331,28,55,83,88,37,52,61,94,85,170,52,8,13,16,29,51,False,True,False,False,False,False
70,4630379,HCP_71,0,67,28,961,1091,1562,3083,3562,53,56,102,168,57,101,159,226,120,223,225,10,20,40,56,99,False,False,False,True,False,True
71,9189951,HCP_72,0,50,60,1100,2063,2415,3530,5120,84,119,124,199,54,61,67,76,52,73,98,5,9,16,30,37,False,False,False,False,False,False
72,9124559,HCP_73,0,88,60,1100,2046,3307,5401,9048,145,266,444,672,60,70,121,182,74,119,58,10,14,28,40,46,False,False,True,False,False,True
73,6551091,HCP_74,0,88,12,695,933,1833,1843,2166,310,377,434,648,72,76,136,159,100,135,120,7,10,16,23,37,True,False,False,False,False,True
74,4877839,HCP_75,0,56,10,510,817,1035,1315,2508,207,384,403,587,67,98,194,323,90,99,50,9,15,26,32,50,True,False,False,False,True,False
75,1214070,HCP_76,0,28,10,141,190,350,681,773,211,356,462,822,28,34,64,116,143,264,158,8,15,27,54,94,False,False,False,False,True,False
76,9510797,HCP_77,0,73,50,913,1228,1836,2711,3726,94,183,275,309,47,86,146,148,73,106,85,5,8,12,14,24,True,False,True,False,False,False
77,7717046,HCP_78,0,69,43,1047,2017,3703,4081,4897,132,208,363,425,28,29,47,69,98,182,124,8,12,23,31,50,False,True,False,False,False,False
78,3518869,HCP_79,0,41,10,782,1441,1581,3059,5183,38,41,58,115,59,65,109,137,263,435,71,9,18,31,39,50,False,False,True,False,True,False
79,7733086,HCP_80,0,39,58,1100,1533,1997,3887,5405,258,506,783,1426,71,105,208,357,230,357,112,8,9,12,23,39,True,False,False,True,False,False
80,1337029,HCP_81,0,43,10,216,266,476,494,771,316,510,652,732,34,62,112,144,113,143,120,7,9,15,21,26,False,False,False,False,False,True
81,9478961,HCP_82,0,76,10,429,756,1506,2183,3781,322,561,668,896,51,88,126,244,121,165,60,8,15,20,29,58,False,False,False,True,False,True
82,6864446,HCP_83,0,69,53,913,1800,3236,6041,6535,127,206,364,533,39,58,112,171,99,120,130,10,14,20,36,55,False,False,True,False,False,True
83,6139454,HCP_84,0,69,50,1100,2052,3712,6893,13497,192,316,383,514,74,88,133,264,147,273,277,6,8,14,15,27,False,False,False,False,False,False
84,6797844,HCP_85,0,86,46,1028,1432,1664,2443,3147,175,292,425,451,46,63,94,148,222,240,88,9,11,19,32,43,True,True,False,False,False,False
85,2844326,HCP_86,0,57,49,1100,1183,2008,3265,5633,129,253,316,607,73,138,250,336,90,151,151,7,14,19,23,41,True,False,False,False,False,False
